test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,2.6698576594651926,0.10226516935374935,1,0.363499995728489,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,0,7911232516600314726,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,2.6698576594651926,0.10226516935374935,1,0.1317000060225837,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,0,7911232516600314726,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,2.669857659465194,0.10226516935374962,1,0.13929999840911478,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,0,7911232516600314726,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.13363207176073816,0.7146955117421828,1,0.12670000432990491,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,1,5801373576750411889,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.13363207176073816,0.7146955117421828,1,0.09010000212583691,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,1,5801373576750411889,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.13363207176072933,0.7146955117421918,1,0.08289999823318794,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,1,5801373576750411889,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,3.705598767390379,0.05423021067226858,1,0.10859999747481197,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,2,2747550595085889629,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,3.705598767390379,0.05423021067226858,1,0.0802000067778863,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,2,2747550595085889629,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,3.70559876739037,0.054230210672268485,1,0.07259999983943999,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,2,2747550595085889629,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,1.2500708138058734,0.2635389526619275,1,0.28839999868068844,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,3,8033120488352715130,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
