test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,2.6698576594651926,0.10226516935374935,1,0.389900007576216,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,0,7911232516600314726,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,2.6698576594651926,0.10226516935374935,1,0.1373999984934926,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,0,7911232516600314726,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,2.669857659465194,0.10226516935374962,1,0.14419999934034422,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,0,7911232516600314726,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.13363207176073816,0.7146955117421828,1,0.13359999138629064,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,1,5801373576750411889,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.13363207176073816,0.7146955117421828,1,0.09560000034980476,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,1,5801373576750411889,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.13363207176072933,0.7146955117421918,1,0.08679999882588163,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,1,5801373576750411889,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,3.705598767390379,0.05423021067226858,1,0.1097999993362464,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,2,2747550595085889629,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,3.705598767390379,0.05423021067226858,1,0.08289999823318794,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,2,2747550595085889629,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,3.70559876739037,0.054230210672268485,1,0.0754000066081062,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,2,2747550595085889629,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,1.2500708138058734,0.2635389526619275,1,0.42409999878145754,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,3,8033120488352715130,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,1.2500708138058736,0.2635389526619275,1,0.14489999739453197,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,3,8033120488352715130,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,1.250070813805877,0.26353895266192684,1,0.0954000061028637,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,3,8033120488352715130,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,1.409453852856453,0.2351470779199083,1,0.13410000974545255,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,4,7917994779817670030,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,1.409453852856453,0.2351470779199083,1,0.09890000364976004,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,4,7917994779817670030,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,1.4094538528564726,0.2351470779199051,1,0.08680001337779686,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,4,7917994779817670030,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.9465643842225026,0.33059534821107683,1,0.11529999028425664,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,5,4320084320215892679,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.9465643842225028,0.33059534821107667,1,0.10319999273633584,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,5,4320084320215892679,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.9465643842224978,0.330595348211078,1,0.08379999053431675,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,5,4320084320215892679,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.44573462395747304,0.5043675043598728,1,0.10659999679774046,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,6,8936240309162264619,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.44573462395747304,0.5043675043598728,1,0.08140000136336312,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,6,8936240309162264619,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.44573462395747754,0.5043675043598708,1,0.07339999137911946,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,6,8936240309162264619,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.002048119575275948,0.963903134760099,1,0.10569999722065404,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,7,7428679144570726470,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.002048119575275948,0.963903134760099,1,0.08209999941755086,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,7,7428679144570726470,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.0020481195752779513,0.9639031347600814,1,0.07269999332493171,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,7,7428679144570726470,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.1831435352548896,0.6686855390190511,1,0.10189999738940969,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,8,1488286183078445266,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.1831435352548896,0.6686855390190511,1,0.09320000390289351,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,8,1488286183078445266,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.18314353525488514,0.6686855390190549,1,0.07680000271648169,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,8,1488286183078445266,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,2.6765168711889764,0.10183825240883292,1,0.10379999730503187,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,9,4254020701497251284,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,2.6765168711889764,0.10183825240883292,1,0.08040000102482736,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,9,4254020701497251284,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,2.6765168711889658,0.10183825240883362,1,0.07259999983943999,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,9,4254020701497251284,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.016770665475351686,0.896960755719452,1,0.09639999188948423,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,10,4252903538484150392,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.016770665475351686,0.896960755719452,1,0.07720000576227903,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,10,4252903538484150392,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.01677066547536299,0.8969607557194176,1,0.06790000770706683,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,10,4252903538484150392,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.0881351613044576,0.7665614344896166,1,0.10420000035082921,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,11,5480721657621830601,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.0881351613044576,0.7665614344896166,1,0.13420000323094428,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,11,5480721657621830601,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.0881351613044501,0.7665614344896261,1,0.07599998934892938,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,11,5480721657621830601,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.6782435887891387,0.410192194852228,1,0.11740000627469271,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,12,8975716206778128835,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.6782435887891387,0.410192194852228,1,0.07830000686226413,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,12,8975716206778128835,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.6782435887891438,0.41019219485222624,1,0.07620000542374328,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,12,8975716206778128835,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.5580436278210132,0.45504957030975013,1,0.10009999823523685,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,13,2868402048173145336,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.5580436278210132,0.45504957030975013,1,0.07869999535614625,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,13,2868402048173145336,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.5580436278210215,0.4550495703097467,1,0.06969999958528206,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,13,2868402048173145336,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.7294488145680975,0.39306190749358605,1,0.09839999984251335,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,14,8548216248079561584,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.7294488145680974,0.39306190749358605,1,0.1815999930840917,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,14,8548216248079561584,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.7294488145681015,0.39306190749358494,1,0.08419998630415648,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,14,8548216248079561584,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.02905648316945465,0.8646486855558682,1,0.1357000001007691,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,15,7338243660904050538,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.029056483169454653,0.8646486855558682,1,0.08960000559454784,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,15,7338243660904050538,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.029056483169455305,0.8646486855558666,1,0.08330000127898529,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,40,0.0,15,7338243660904050538,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
