test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,3.638777614438135,0.05644836483512582,1,1.9029999966733158,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.0,0,7911232516600314726,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,3.6387776144381356,0.05644836483512582,1,0.19640000391518697,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.0,0,7911232516600314726,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,3.6387776144381405,0.05644836483512583,1,0.06430000212276354,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.0,0,7911232516600314726,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.8987885402159516,0.3431067558344689,1,0.12440000136848539,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.0,1,5801373576750411889,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.8987885402159517,0.3431067558344688,1,0.0931999966269359,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.0,1,5801373576750411889,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.8987885402159534,0.3431067558344683,1,0.05419999797595665,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.0,1,5801373576750411889,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,0.437702653582487,0.5082333758965251,1,0.09069999941857532,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.0,2,2747550595085889629,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
score,0.43770265358248694,0.5082333758965252,1,0.07310000364668667,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.0,2,2747550595085889629,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
lr,0.43770265358249105,0.5082333758965232,1,0.04460000491235405,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.0,2,2747550595085889629,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,True
wald,3.2707953600549033,0.0705234244460334,1,0.08140000136336312,True,True,,False,False,Regular: Normal mean (sigma known),normal_mean_known_sigma,main,20,0.2,0,8033120488352715130,0.05,H0: mu = 0,1,正則・解析的に扱える設定。nが増えるとWald/Score/LRはほぼ一致する。,False
