test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,,,1,0.0022999956854619086,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,0.03378125271724534,0.8541728900226919,1,0.19869999960064888,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,30,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0017999991541728377,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0015999976312741637,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,,,1,0.0351999988197349,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0010000003385357559,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0013000026228837669,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,2,2747550595085889629,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,1.395357797780951,0.23750237555785872,1,0.15010000061010942,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,30,0.0,2,2747550595085889629,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0012000018614344299,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,2,2747550595085889629,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0011999945854768157,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,3,8033120488352715130,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,,,1,0.03060000017285347,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,3,8033120488352715130,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.000700005330145359,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,3,8033120488352715130,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,4,7917994779817670030,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
score,,,1,0.029499999072868377,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,4,7917994779817670030,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
lr,,,1,0.0007999988156370819,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.0,4,7917994779817670030,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,True
wald,,,1,0.0012000018614344299,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,0,4320084320215892679,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.029299997549969703,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,0,4320084320215892679,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0008999995770864189,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,0,4320084320215892679,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0012000018614344299,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,1,8936240309162264619,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,0.1470218871139435,0.7013977514902383,1,0.11029999586753547,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,30,0.2,1,8936240309162264619,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0011000010999850929,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,1,8936240309162264619,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0012999953469261527,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,2,7428679144570726470,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.030499999411404133,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,2,7428679144570726470,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.000800006091594696,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,2,7428679144570726470,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0013000026228837669,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,3,1488286183078445266,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.0301000036415644,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,3,1488286183078445266,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0006999980541877449,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,3,1488286183078445266,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0016999983927235007,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,4,4254020701497251284,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,1.8121283361422125,0.17825312672128563,1,0.1294999965466559,False,True,,False,False,Weak identification: severe collinearity,collinearity,main,30,0.2,4,4254020701497251284,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
lr,,,1,0.0012000018614344299,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.2,4,4254020701497251284,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
wald,,,1,0.0012999953469261527,False,True,ill_conditioned_xtx,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,0,4252903538484150392,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
score,,,1,0.031000003218650818,False,True,negative_stat,True,False,Weak identification: severe collinearity,collinearity,main,30,0.4,0,4252903538484150392,0.05,H0: beta_1 = 0,1,強共線性で情報行列がほぼ特異となり、分散推定不安定や失敗率上昇が起こる。,False
