test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,0.0014622031912072172,0.9694973130412406,1,0.20370000129332766,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.0014622984534690218,0.9694963199194897,1,0.10060000204248354,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.0014623398632522822,0.9694958882270929,1,0.05789999704575166,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.00148427891768297,0.9692680303324115,1,0.13140000373823568,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,0,7911232516600314726,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.43715240107917336,0.5085000819581873,1,0.1277999981539324,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.4442735278765781,0.5050669849041938,1,0.08779999916441739,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.44378607666372716,0.505300715376667,1,0.05089999467600137,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.6119232893628858,0.4340645753793777,1,0.15689999418100342,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,1,5801373576750411889,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,2.060173234208031,0.15119298108579166,1,0.1568000006955117,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,2,2747550595085889629,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,2.242717150704254,0.13424489787258634,1,0.09280000085709617,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,2,2747550595085889629,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,2.3375926350535714,0.1262845800332938,1,0.05239999882178381,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,2,2747550595085889629,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,1.1089525190689369,0.2923097610095216,1,0.1460999992559664,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,2,2747550595085889629,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.16858975872558765,0.6813681868192325,1,0.1325999983237125,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,3,8033120488352715130,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.16944854543823942,0.6806023684603074,1,0.10889999975915998,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,3,8033120488352715130,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.17044607447476068,0.6797156711312522,1,0.05319999763742089,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,3,8033120488352715130,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.2086394502788837,0.6478358851597604,1,0.1424999936716631,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,3,8033120488352715130,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.7980400025285121,0.37168002334591266,1,0.12240000069141388,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,4,7917994779817670030,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.8254940566702614,0.363578714054265,1,0.08710000111022964,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,4,7917994779817670030,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.8552666267169684,0.35506669148212155,1,0.051500006520655006,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,4,7917994779817670030,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,1.206255127893129,0.27207505445123836,1,0.13100000069243833,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,4,7917994779817670030,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.0666612058118403,0.7962615758495003,1,0.13890000263927504,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,5,4320084320215892679,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.06684480566013899,0.7959873857006489,1,0.09190000128000975,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,5,4320084320215892679,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.06729363078193984,0.7953187919062219,1,0.05300000339047983,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,5,4320084320215892679,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.07657236904660555,0.7819973188450091,1,0.1294999965466559,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,5,4320084320215892679,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,1.3262259919703412,0.24947772906032153,1,0.1303999961237423,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,6,8936240309162264619,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,1.4042304934967158,0.2360165304423218,1,0.09200000204145908,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,6,8936240309162264619,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,1.45302986229121,0.2280424070486585,1,0.0596999961999245,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,6,8936240309162264619,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,2.2608809749660064,0.13267856418777468,1,0.12440000136848539,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,6,8936240309162264619,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.18531140413574024,0.6668478859337935,1,0.12089999654563144,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,7,7428679144570726470,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.18652540005997378,0.6658243688536492,1,0.08660000457894057,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,7,7428679144570726470,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.18689547800084938,0.6655131432136875,1,0.051099996198900044,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,7,7428679144570726470,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.15779577550541615,0.6911940537626282,1,0.1218999968841672,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,7,7428679144570726470,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,1.3408218387813309,0.24688908729249354,1,0.1360000023851171,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,8,1488286183078445266,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,1.4371690635235135,0.23059799738870146,1,0.0957000011112541,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,8,1488286183078445266,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,1.3836432979480655,0.23948153473256095,1,0.058999998145736754,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,8,1488286183078445266,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,2.3234991559011684,0.12743307741154644,1,0.12229999992996454,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,8,1488286183078445266,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,1.82982561305632,0.17614814458736006,1,0.13320000289240852,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,9,4254020701497251284,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,1.9827774247030292,0.15909811639389454,1,0.0929000016185455,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,9,4254020701497251284,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,2.127565062921601,0.14467040938913264,1,0.05999999848427251,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,9,4254020701497251284,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.8948120079704152,0.34417662211739586,1,0.12340000102994964,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,9,4254020701497251284,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.5621094238021086,0.45341157012105626,1,0.12959999730810523,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,10,4252903538484150392,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.5732880002062575,0.4489553029436535,1,0.08280000474769622,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,10,4252903538484150392,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.5838104422057384,0.4448226131791989,1,0.04769999941345304,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,10,4252903538484150392,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.8332499082034474,0.36133446448624584,1,0.12119999882997945,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,or,25,0.0,10,4252903538484150392,0.05,H0: OR = 1,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
wald,0.052184706932314216,0.8193044114190952,1,0.14139999984763563,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,11,5480721657621830601,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
score,0.05225691022434992,0.819181609347998,1,0.08639999578008428,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,11,5480721657621830601,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
lr,0.05228806941548925,0.8191286419272047,1,0.05080000119050965,True,True,,False,False,Invariance demo: beta=0 vs OR=1,invariance_demo,beta,25,0.0,11,5480721657621830601,0.05,H0: beta_1 = 0,1,同値仮説でもWaldはパラメータ化依存でズレ得る。LRは同じfull/null比較なので相対的に不変。,True
