test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,4.490782480869263,0.0340780761803277,1,0.19179999799234793,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,same_data,80,0.0,0,7911232516600314726,0.05,H0: selected beta = 0 (selection and testing on same data),1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
score,4.252092215513411,0.03920200615620422,1,0.10789999942062423,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,same_data,80,0.0,0,7911232516600314726,0.05,H0: selected beta = 0 (selection and testing on same data),1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
lr,4.3692648538096535,0.03659277557682374,1,0.05909999890718609,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,same_data,80,0.0,0,7911232516600314726,0.05,H0: selected beta = 0 (selection and testing on same data),1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
wald,2.248139988529803,0.133775113276434,1,0.1140000022132881,True,True,,False,False,Overfitting/p-hacking: stepwise then test,phacking_stepwise,split_data,80,0.0,0,7911232516600314726,0.05,"H0: selected beta = 0 (selection on train, testing on test split)",1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
score,2.1285102625963304,0.14458121316344036,1,0.09999999747378752,True,True,,False,False,Overfitting/p-hacking: stepwise then test,phacking_stepwise,split_data,80,0.0,0,7911232516600314726,0.05,"H0: selected beta = 0 (selection on train, testing on test split)",1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
lr,2.1872349912016773,0.13915892983040268,1,0.055999997130129486,True,True,,False,False,Overfitting/p-hacking: stepwise then test,phacking_stepwise,split_data,80,0.0,0,7911232516600314726,0.05,"H0: selected beta = 0 (selection on train, testing on test split)",1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
wald,5.755323450080439,0.016438768922667348,1,0.10710000060498714,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,same_data,80,0.0,1,5801373576750411889,0.05,H0: selected beta = 0 (selection and testing on same data),1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
score,5.36906465374661,0.02049696597470415,1,0.11369999992894009,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,same_data,80,0.0,1,5801373576750411889,0.05,H0: selected beta = 0 (selection and testing on same data),1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
lr,5.557722439657567,0.018399336160609184,1,0.049100002797786146,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,same_data,80,0.0,1,5801373576750411889,0.05,H0: selected beta = 0 (selection and testing on same data),1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
wald,0.03475882288919771,0.8521019364041136,1,0.10450000263517722,True,True,,False,False,Overfitting/p-hacking: stepwise then test,phacking_stepwise,split_data,80,0.0,1,5801373576750411889,0.05,"H0: selected beta = 0 (selection on train, testing on test split)",1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
score,0.03472864471892336,0.8521654139649723,1,0.07999999797903001,True,True,,False,False,Overfitting/p-hacking: stepwise then test,phacking_stepwise,split_data,80,0.0,1,5801373576750411889,0.05,"H0: selected beta = 0 (selection on train, testing on test split)",1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
lr,0.03474372943529147,0.8521336808081887,1,0.04919999628327787,True,True,,False,False,Overfitting/p-hacking: stepwise then test,phacking_stepwise,split_data,80,0.0,1,5801373576750411889,0.05,"H0: selected beta = 0 (selection on train, testing on test split)",1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
wald,10.302298824758212,0.0013286459129031964,1,0.10469999688211828,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,same_data,80,0.0,2,2747550595085889629,0.05,H0: selected beta = 0 (selection and testing on same data),1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
score,9.126942688137744,0.0025187228020252775,1,0.07910000567790121,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,same_data,80,0.0,2,2747550595085889629,0.05,H0: selected beta = 0 (selection and testing on same data),1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
lr,9.6909026450829,0.0018518254847392078,1,0.04489999992074445,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,same_data,80,0.0,2,2747550595085889629,0.05,H0: selected beta = 0 (selection and testing on same data),1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
wald,4.174803331032953,0.0410293242569298,1,0.11809999705292284,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,split_data,80,0.0,2,2747550595085889629,0.05,"H0: selected beta = 0 (selection on train, testing on test split)",1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
score,3.7802575370834886,0.05186067791146989,1,0.0779999973019585,True,True,,False,False,Overfitting/p-hacking: stepwise then test,phacking_stepwise,split_data,80,0.0,2,2747550595085889629,0.05,"H0: selected beta = 0 (selection on train, testing on test split)",1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
lr,3.971004481585922,0.04629015101222577,1,0.044699998397845775,True,True,,False,True,Overfitting/p-hacking: stepwise then test,phacking_stepwise,split_data,80,0.0,2,2747550595085889629,0.05,"H0: selected beta = 0 (selection on train, testing on test split)",1,変数選択後に同データで検定すると偽陽性率が増える。探索/検定分離でサイズが回復する。,True
