test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,0.1208932768840857,0.7280676709890048,1,0.25524999655317515,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_1,80,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
score,0.1207108627371864,0.7282647768743366,1,0.425300000642892,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_1,80,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
lr,0.12080202390228578,0.7281662526881476,1,0.4014499965705909,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_1,80,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
wald,0.7917361672861803,0.3735756624427752,1,0.1579499978106469,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_2,80,0.0,0,7911232516600314726,0.05,H0: beta_2 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
score,0.7839773767424206,0.37592747017043304,1,0.37400000292109326,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_2,80,0.0,0,7911232516600314726,0.05,H0: beta_2 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
lr,0.7878440372286661,0.3747528384353135,1,0.3758500053663738,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_2,80,0.0,0,7911232516600314726,0.05,H0: beta_2 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
wald,1.411836208271372,0.23475181127132663,1,0.15894999814918265,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_3,80,0.0,0,7911232516600314726,0.05,H0: beta_3 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
score,1.3873522809725611,0.23885274532098055,1,0.32900000223889947,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_3,80,0.0,0,7911232516600314726,0.05,H0: beta_3 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
lr,1.399522858233695,0.23680347604346505,1,0.3431499964790419,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_3,80,0.0,0,7911232516600314726,0.05,H0: beta_3 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
wald,0.4668584334670704,0.49443599735693644,1,0.1399499989929609,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_4,80,0.0,0,7911232516600314726,0.05,H0: beta_4 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
score,0.4641497804744929,0.4956909270085992,1,0.3428999916650355,True,True,,False,False,Practical: Wald batch speed for many hypotheses,wald_runtime_batch,beta_4,80,0.0,0,7911232516600314726,0.05,H0: beta_4 = 0,1,多数係数を順次検定する実務想定。1回のfull推定を再利用できるWaldはLR/Scoreより高速になりやすい。,True
