test,stat,pvalue,df,runtime_ms,converged_full,converged_null,error_type,failed,reject,scenario,scenario_slug,hypothesis_id,n,effect_size,rep,seed,alpha,null_spec,null_df,notes,is_null
wald,3.230187121430285,0.07229242790434175,1,0.5677000008290634,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
score,2.9888254819318183,0.08384095877876226,1,0.2716999952099286,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
lr,3.10638292259668,0.07798597351078732,1,0.5996999971102923,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
wald_hc3,1.2147134418602186,0.2704006418326211,1,0.4636999947251752,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,0,7911232516600314726,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
wald,2.3263660845428227,0.1271985092037348,1,0.23149999469751492,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
score,2.1985030133663033,0.1381448376891777,1,0.20799999765586108,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
lr,2.2612299780627154,0.13264866896595537,1,0.2795999898808077,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
wald_hc3,1.0448896626981343,0.3066869862185832,1,0.39059999835444614,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,1,5801373576750411889,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
wald,0.3019746723607554,0.58264711875208,1,0.21320000087143853,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,2,2747550595085889629,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
score,0.2997120362619357,0.5840630044890069,1,0.20280000171624124,True,True,,False,False,Misspecification: Linear regression heteroskedastic,linear_regression_heteroskedastic,main,40,0.0,2,2747550595085889629,0.05,H0: beta_1 = 0,1,"Heteroskedastic errors violate the constant-variance likelihood assumption, so nominal size can drift for Wald/Score/LR under the homoskedastic model. HC3-robust Wald can partially recover calibration.",True
